id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2021-09-24T06:30:20;PENDING;33498;IDEAL;Cambridgeshire invoice Buckinghamshire;1
2;2021-09-23T21:34:06;CANCELLED;25943;IDEAL;bypassing Flat West;2
3;2021-09-24T12:56:18;REFUNDED;70368;CREDIT_CARD;program;2
4;2021-09-24T06:25:03;PAID;6346;IDEAL;COM;2
5;2021-09-24T11:28:04;PENDING;23194;IDEAL;program Loan Iranian;1
6;2021-09-24T16:38:39;PENDING;74315;IDEAL;invoice;2
7;2021-09-24T18:40:51;COMPLETED;46169;CREDIT_CARD;bleeding-edge;2
8;2021-09-24T17:45:35;CANCELLED;26007;CREDIT_CARD;Afghanistan Research;2
9;2021-09-24T13:10:24;COMPLETED;9536;IDEAL;generating;2
10;2021-09-24T16:32:11;COMPLETED;49243;CREDIT_CARD;override;1
